player,position
Vincent Kompany,DEF
Boaz Myhill,Unknown
Edimilson Fernandes,Unknown
Jeremain Lens,Unknown
Patrick McNair,Unknown
Sam Byram,Unknown
James Milner,MID
Jose Fonte,Unknown
Mohamed Diam,Unknown
Matthew Lowton,Unknown
Nicols Otamendi,DEF
Dionatan do Nascimento Teixeira,Unknown
Fraizer Campbell,Unknown
Michael Folivi,Unknown
Bastian Schweinsteiger,MID
Joel Taylor,Unknown
Sergio Romero,GK
Stephen Kingsley,Unknown
Christian Eriksen,MID
Heung-Min Son,MID
Gabriel Fernando de Jesus,Unknown
Abdoulaye Doucour,Unknown
Julien Ngoy,Unknown
Julian Speroni,Unknown
Robbie Brady,Unknown
Joshua Sims,Unknown
Viktor Fischer,Unknown
Chuba Akpom,Unknown
Ahmed Musa,Unknown
Claudio Bravo,GK
Aaron Cresswell,DEF
Danny Welbeck,FWD
Timothy Fosu-Mensah,DEF
Matt Macey,GK
Tommie Hoban,Unknown
Joe Ledley,Unknown
Joshua King,FWD
Kurt Zouma,DEF
Jonny Evans,DEF
Craig Cathcart,Unknown
Leonardo Ulloa,Unknown
Sofiane Feghouli,Unknown
Martin Olsson,Unknown
Lys Mousset,FWD
Josh Tymon,Unknown
Andrew Surman,Unknown
Dion Pereira,Unknown
Joe Hart,GK
Nacho Monreal,DEF
Hvard Nordtveit,Unknown
Kyle Naughton,Unknown
Bertrand Traore,Unknown
Mauro Zrate,Unknown
Stephen Ireland,Unknown
Alex Pritchard,Unknown
Sung-yueng Ki,Unknown
Pablo Maffeo,Unknown
Brendan Galloway,Unknown
Csar Azpilicueta,DEF
DeAndre Yedlin,DEF
Billy Jones,Unknown
Daniel James,MID
Tendayi Darikwa,Unknown
Younes Kaboul,Unknown
Takuma Asano,Unknown
Kristoffer Nordfeldt,Unknown
Joey Barton,Unknown
Nathan Ak,DEF
Kasper Schmeichel,GK
Fernando Llorente,Unknown
Brandon Mason,Unknown
Jack Stephens,DEF
Moses Makasi,Unknown
Ben Woodburn,Unknown
Petr Cech,GK
Chung-yong Lee,Unknown
Georginio Wijnaldum,MID
Andre Gray,Unknown
Joel Matip,DEF
Vincent Janssen,Unknown
Sam Field,MID
James Ward-Prowse,MID
Asmir Begovic,Unknown
Omar Elabdellaoui,Unknown
Ross Barkley,MID
Thibaut Courtois,GK
Etienne Capoue,Unknown
Duncan Watmore,Unknown
Pedro Rodrguez Ledesma,Unknown
Oliver McBurnie,FWD
Gnegneri Yaya Tour,Unknown
