,value,total_points
744,40,0
745,40,0
746,40,0
747,50,0
748,50,0
749,49,2
750,49,0
751,49,0
752,48,1
753,48,1
754,48,0
755,48,0
756,48,1
757,48,1
758,48,1
759,48,1
760,48,1
761,47,1
762,47,0
763,47,0
764,47,2
765,47,10
766,47,6
767,47,11
768,48,2
769,48,9
770,49,1
771,49,2
772,49,1
773,49,5
774,49,0
775,48,1
776,47,0
777,47,1
778,47,0
779,46,5
780,46,1
781,45,1
782,45,0
783,45,4
784,44,7
785,70,9
786,70,3
787,71,7
788,71,1
789,71,1
790,70,1
791,69,1
792,69,3
793,68,2
794,68,0
795,67,0
796,67,0
797,67,0
798,66,0
799,66,0
800,66,0
801,66,0
802,66,0
803,66,0
804,66,0
805,66,0
806,66,0
807,66,0
808,66,0
809,66,0
810,66,0
811,66,0
812,66,0
813,66,0
814,66,0
815,66,0
816,66,0
817,66,0
818,66,0
819,66,0
820,66,0
821,66,0
822,66,0
823,60,2
824,60,3
825,60,2
826,60,1
827,60,1
828,60,0
829,59,0
830,58,2
831,58,1
832,58,1
833,58,2
834,58,0
835,58,0
836,58,0
837,58,1
838,58,0
839,58,1
840,58,1
841,58,3
842,58,0
843,58,1
844,58,1
845,58,0
846,58,1
847,58,1
848,58,1
849,58,7
850,58,2
851,58,2
852,58,2
853,58,3
854,58,3
855,58,0
856,58,0
857,58,0
858,58,0
859,58,3
860,58,0
861,50,1
862,50,1
863,50,1
864,48,0
865,47,1
866,47,1
867,47,2
868,47,5
869,47,0
870,47,2
871,47,2
872,47,0
873,47,1
874,47,1
875,46,1
876,46,1
877,45,0
878,45,1
879,45,0
880,45,0
881,45,0
882,45,0
883,45,0
884,44,0
885,44,0
886,44,0
887,43,1
888,43,0
889,43,1
890,43,0
891,43,0
892,43,1
893,43,0
894,43,0
895,43,0
896,43,5
897,43,0
898,43,0
899,43,0
900,43,0
901,43,0
902,43,0
903,43,0
904,43,0
905,43,0
906,43,0
907,43,0
908,43,0
909,43,0
910,43,0
911,43,0
912,43,0
913,43,1
914,43,0
915,43,0
916,43,0
917,50,7
918,50,1
919,50,3
920,50,2
921,50,3
922,50,0
923,50,0
924,50,0
925,50,0
926,49,0
927,49,0
928,48,0
929,48,0
930,48,0
931,48,0
932,47,7
933,47,6
934,47,2
935,47,7
936,47,2
937,47,2
938,47,1
939,47,8
940,47,1
941,47,8
942,47,2
943,47,2
944,47,2
945,47,2
946,47,3
947,47,1
948,47,3
949,47,7
950,47,1
951,47,7
952,47,6
953,47,7
954,48,7
955,40,0
956,40,0
957,40,0
958,40,0
959,40,0
960,40,0
961,40,0
962,40,0
963,40,0
964,40,0
965,40,0
966,40,0
967,40,0
968,40,0
969,40,0
970,40,0
971,40,0
972,40,0
973,40,0
974,40,0
975,40,0
976,40,0
977,40,0
978,40,0
979,40,0
980,40,0
981,40,3
982,50,0
